商談ID,会社名,業種,担当営業,商談ステージ,予想受注日,売上見込額(円),受注確度,初回接触日,最終接触日,流入経路,エリア,従業員規模,決裁者役職,優先度,次回アクション,備考
S-2026-121,株式会社旭商事,建設,水野美月,受注,2026-03-31,1450000,100%,2026-02-15,2026-03-10,展示会,北海道,100-299名,マネージャー,C,導入スケジュール確認,契約締結済み
S-2026-122,株式会社青空企画,医療,石井蒼,提案,2026-03-14,850000,65%,2026-02-17,2026-02-21,SNS,中部,1-49名,課長,A,次回訪問設定,補助金活用予定
S-2026-123,株式会社北斗サービス,小売,西村凛,初回接触,2026-03-29,2250000,15%,2026-02-19,2026-03-05,展示会,四国,300-999名,執行役員,B,決裁者ヒアリング,拠点展開を検討
S-2026-124,株式会社中央開発,金融,佐伯拓海,稟議中,2026-04-14,980000,80%,2026-02-21,2026-03-15,SNS,東北,50-99名,支店長,C,競合比較資料送付,補助金活用予定
S-2026-125,株式会社大和不動産,人材,長谷川葵,課題整理,2026-04-06,1200000,45%,2026-02-23,2026-03-08,展示会,関西,1000名以上,部長,A,トライアル開始,拠点展開を検討
S-2026-126,株式会社東洋建設,介護,藤原湊,失注,2026-04-13,4200000,0%,2026-02-25,2026-03-20,SNS,中国,100-299名,本部長,B,失注理由整理,予算凍結
S-2026-127,株式会社南星オフィス,アパレル,福田結菜,見積提出,2026-04-06,2580000,55%,2026-02-27,2026-03-20,展示会,九州,1-49名,代表取締役,C,役員向け説明,拠点展開を検討
S-2026-128,株式会社白樺システム,印刷,黒田蓮,初回商談,2026-04-17,980000,30%,2026-03-01,2026-03-26,SNS,関東,300-999名,マネージャー,A,見積再提出,補助金活用予定
S-2026-129,株式会社虹ヶ丘製作所,商社,村上紬,受注,2026-04-19,1450000,100%,2026-03-03,2026-03-19,展示会,北海道,50-99名,課長,B,導入スケジュール確認,契約締結済み
S-2026-130,株式会社未来デザイン,IT,小川陽斗,提案,2026-03-11,1200000,65%,2026-01-06,2026-01-28,SNS,中部,1000名以上,執行役員,C,次回訪問設定,補助金活用予定
S-2026-131,株式会社光和工業,建設,水野美月,初回接触,2026-02-27,680000,15%,2026-01-08,2026-01-31,展示会,四国,100-299名,支店長,A,決裁者ヒアリング,拠点展開を検討
S-2026-132,株式会社新日本フーズ,医療,石井蒼,稟議中,2026-01-28,1680000,80%,2026-01-10,2026-01-19,SNS,東北,1-49名,部長,B,競合比較資料送付,補助金活用予定
S-2026-133,株式会社桜井印刷,小売,西村凛,課題整理,2026-02-19,850000,45%,2026-01-12,2026-01-26,展示会,関西,300-999名,本部長,C,トライアル開始,拠点展開を検討
S-2026-134,株式会社海王パートナーズ,金融,佐伯拓海,失注,2026-03-06,4200000,0%,2026-01-14,2026-01-22,SNS,中国,50-99名,代表取締役,A,失注理由整理,優先度低下
S-2026-135,株式会社山吹物流,人材,長谷川葵,見積提出,2026-03-03,1980000,55%,2026-01-16,2026-01-24,展示会,九州,1000名以上,マネージャー,B,役員向け説明,拠点展開を検討
S-2026-136,株式会社若葉ソリューションズ,介護,藤原湊,初回商談,2026-03-17,980000,30%,2026-01-18,2026-02-09,SNS,関東,100-299名,課長,C,見積再提出,補助金活用予定
S-2026-137,株式会社銀河ネットワーク,アパレル,福田結菜,受注,2026-02-14,1200000,100%,2026-01-20,2026-01-30,展示会,北海道,1-49名,執行役員,A,導入スケジュール確認,契約締結済み
S-2026-138,株式会社高原テック,印刷,黒田蓮,提案,2026-03-30,2580000,65%,2026-01-22,2026-02-16,SNS,中部,300-999名,支店長,B,次回訪問設定,補助金活用予定
S-2026-139,株式会社翠メディカル,商社,村上紬,初回接触,2026-03-19,1980000,15%,2026-01-24,2026-02-03,展示会,四国,50-99名,部長,C,決裁者ヒアリング,拠点展開を検討
S-2026-140,株式会社飛鳥エナジー,IT,小川陽斗,稟議中,2026-03-19,1680000,80%,2026-01-26,2026-02-15,SNS,東北,1000名以上,本部長,A,競合比較資料送付,補助金活用予定
S-2026-141,株式会社旭商事,建設,水野美月,課題整理,2026-02-21,2580000,45%,2026-01-28,2026-02-06,展示会,関西,100-299名,代表取締役,B,トライアル開始,拠点展開を検討
S-2026-142,株式会社青空企画,医療,石井蒼,失注,2026-02-28,680000,0%,2026-01-30,2026-02-16,SNS,中国,1-49名,マネージャー,C,失注理由整理,予算凍結
S-2026-143,株式会社北斗サービス,小売,西村凛,見積提出,2026-02-24,3680000,55%,2026-02-01,2026-02-07,展示会,九州,300-999名,課長,A,役員向け説明,拠点展開を検討
S-2026-144,株式会社中央開発,金融,佐伯拓海,初回商談,2026-04-04,850000,30%,2026-02-03,2026-02-18,SNS,関東,50-99名,執行役員,B,見積再提出,補助金活用予定
S-2026-145,株式会社大和不動産,人材,長谷川葵,受注,2026-03-22,3120000,100%,2026-02-05,2026-02-19,展示会,北海道,1000名以上,支店長,C,導入スケジュール確認,契約締結済み
S-2026-146,株式会社東洋建設,介護,藤原湊,提案,2026-04-04,1450000,65%,2026-02-07,2026-02-23,SNS,中部,100-299名,部長,A,次回訪問設定,補助金活用予定
S-2026-147,株式会社南星オフィス,アパレル,福田結菜,初回接触,2026-03-07,3680000,15%,2026-02-09,2026-02-28,展示会,四国,1-49名,本部長,B,決裁者ヒアリング,拠点展開を検討
S-2026-148,株式会社白樺システム,印刷,黒田蓮,稟議中,2026-03-22,3680000,80%,2026-02-11,2026-03-08,SNS,東北,300-999名,代表取締役,C,競合比較資料送付,補助金活用予定
S-2026-149,株式会社虹ヶ丘製作所,商社,村上紬,課題整理,2026-03-28,3680000,45%,2026-02-13,2026-03-04,展示会,関西,50-99名,マネージャー,A,トライアル開始,拠点展開を検討
S-2026-150,株式会社未来デザイン,IT,小川陽斗,失注,2026-03-13,1450000,0%,2026-02-15,2026-02-27,SNS,中国,1000名以上,課長,B,失注理由整理,時期見送り
S-2026-151,株式会社光和工業,建設,水野美月,見積提出,2026-04-01,680000,55%,2026-02-17,2026-02-24,展示会,九州,100-299名,執行役員,C,役員向け説明,拠点展開を検討
S-2026-152,株式会社新日本フーズ,医療,石井蒼,初回商談,2026-04-08,2580000,30%,2026-02-19,2026-03-16,SNS,関東,1-49名,支店長,A,見積再提出,補助金活用予定
S-2026-153,株式会社桜井印刷,小売,西村凛,受注,2026-04-08,850000,100%,2026-02-21,2026-02-28,展示会,北海道,300-999名,部長,B,導入スケジュール確認,契約締結済み
S-2026-154,株式会社海王パートナーズ,金融,佐伯拓海,提案,2026-04-12,3680000,65%,2026-02-23,2026-03-17,SNS,中部,50-99名,本部長,C,次回訪問設定,補助金活用予定
S-2026-155,株式会社山吹物流,人材,長谷川葵,初回接触,2026-04-29,1200000,15%,2026-02-25,2026-03-15,展示会,四国,1000名以上,代表取締役,A,決裁者ヒアリング,拠点展開を検討
S-2026-156,株式会社若葉ソリューションズ,介護,藤原湊,稟議中,2026-04-04,980000,80%,2026-02-27,2026-03-05,SNS,東北,100-299名,マネージャー,B,競合比較資料送付,補助金活用予定
S-2026-157,株式会社銀河ネットワーク,アパレル,福田結菜,課題整理,2026-04-29,680000,45%,2026-03-01,2026-03-20,展示会,関西,1-49名,課長,C,トライアル開始,拠点展開を検討
S-2026-158,株式会社高原テック,印刷,黒田蓮,失注,2026-04-20,2250000,0%,2026-03-03,2026-03-24,SNS,中国,300-999名,執行役員,A,失注理由整理,予算凍結
S-2026-159,株式会社翠メディカル,商社,村上紬,見積提出,2026-02-10,1450000,55%,2026-01-06,2026-01-11,展示会,九州,50-99名,支店長,B,役員向け説明,拠点展開を検討
S-2026-160,株式会社飛鳥エナジー,IT,小川陽斗,初回商談,2026-01-27,1200000,30%,2026-01-08,2026-01-17,SNS,関東,1000名以上,部長,C,見積再提出,補助金活用予定
